code,name,cur_price,lot_price,market_val,lot_size
HK.01398,工商银行,7.475,7475.0,2664136771740.275,1000.0
HK.00939,建设银行,9.245,9245.0,2418495526588.455,1000.0
HK.01288,农业银行,6.28,6280.0,2197893452722.44,1000.0
HK.03988,中国银行,5.505,5505.0,1773779327036.07,1000.0
HK.01211,比亚迪股份,93.15,9315.0,849266953179.75,100.0
HK.01810,小米集团-W,29.02,5804.0,747513183886.34,200.0
HK.00300,美的集团,96.9,9690.0,739230535114.8,100.0
HK.81211,比亚迪股份-R,80.0,8000.0,729375805200.0,100.0
HK.03328,交通银行,7.56,7560.0,668030208725.88,1000.0
HK.81810,小米集团-WR,24.84,4968.0,639842435828.28,200.0
HK.01658,邮储银行,4.935,4935.0,592669088983.02,1000.0
HK.00386,中国石油化工股份,4.405,8810.0,532676890147.91,2000.0
HK.03690,美团-W,85.0,8500.0,524915421070.0,100.0
HK.09633,农夫山泉,42.54,8508.0,478424680656.0,200.0
HK.02475,立讯精密,61.1,6110.0,472780790146.6,100.0
HK.83690,美团-WR,72.75,7275.0,449265845680.5,100.0
HK.00728,中国电信,4.885,9770.0,447012372544.615,2000.0
HK.00998,中信银行,8.005,8005.0,445439523923.32,1000.0
HK.01276,恒瑞医药,48.2,9640.0,319913033926.8,200.0
HK.09618,京东集团-SW,115.2,5760.0,309657600000.0,50.0
HK.02601,中国太保,29.46,5892.0,283415259264.3,200.0
HK.01919,中远海控,17.95,8975.0,274062807221.75,500.0
HK.02378,保诚,109.7,5485.0,274055165011.3,50.0
HK.89618,京东集团-SWR,98.6,4930.0,265036800000.0,50.0
HK.02611,国泰海通,15.03,3006.0,264243300958.44,200.0
HK.09888,百度集团-SW,93.2,4660.0,253692382550.4,50.0
HK.01339,中国人民保险集团,5.275,5275.0,233281550325.325,1000.0
HK.89888,百度集团-SWR,79.95,3997.5,217625600696.4,50.0
HK.06690,海尔智家,21.34,4268.0,200118616731.0,200.0
HK.02714,牧原股份,33.7,3370.0,194549970052.8,100.0
HK.03288,海天味业,32.04,3204.0,187467483209.76,100.0
