date,side,price,qty,reason
2024-01-03,BUY,15.292223999999997,600,
2024-01-04,SELL,14.88808,600,MA20
2024-01-05,BUY,14.871887999999998,600,
2024-01-08,SELL,14.88808,600,MA20
2024-03-22,BUY,14.791823999999998,600,
2024-05-27,SELL,18.18544,600,MA20
2024-05-28,BUY,18.414719999999996,400,
2024-05-29,SELL,18.005584,400,MA20
2024-05-30,BUY,17.794224,600,
2024-05-31,SELL,17.985599999999998,600,MA20
2024-06-03,BUY,17.574047999999998,600,
2024-06-04,SELL,17.665855999999998,600,MA20
2024-06-05,BUY,17.854271999999998,600,
2024-06-06,SELL,17.805744,600,MA20
2024-06-07,BUY,18.074447999999997,400,
2024-06-11,SELL,17.166256,400,MA20
2024-06-12,BUY,17.233776,600,
2024-06-13,SELL,17.266176,600,MA20
2024-06-14,BUY,17.373887999999997,600,
2024-06-17,SELL,17.186239999999998,600,MA20
2024-06-18,BUY,17.393904,600,
2024-06-19,SELL,17.466016,600,MA20
2024-06-20,BUY,18.514799999999997,400,
2024-06-28,SELL,16.366895999999997,400,MA20
2024-08-28,BUY,18.81504,400,
2024-11-27,SELL,27.07832,400,MA20
2024-11-28,BUY,28.022399999999998,400,
2024-11-29,SELL,27.82772,400,MA20
2024-12-02,BUY,28.272599999999997,400,
2025-01-14,SELL,32.7238,400,MA20
2025-01-15,BUY,33.776999999999994,200,
2025-03-26,SELL,53.4572,200,MA20
2025-03-27,BUY,53.94311999999999,200,
2025-03-28,SELL,50.959199999999996,200,MA20
2025-03-31,BUY,50.19011999999999,200,
2025-04-01,SELL,49.360479999999995,200,MA20
2025-04-02,BUY,46.0368,200,
2025-04-03,SELL,43.764959999999995,200,MA20
2025-04-07,BUY,40.23216,200,
2025-04-08,SELL,38.51916,200,MA20
2025-05-23,BUY,53.24256,200,
2025-06-02,SELL,49.96,200,MA20
2025-06-03,BUY,52.24176,200,
2025-06-13,SELL,51.85848,200,MA20
2025-06-16,BUY,51.99156,200,
2025-07-18,SELL,56.4548,200,MA20
2025-07-21,BUY,56.445119999999996,200,
2025-07-28,SELL,57.25416,200,MA20
2025-07-29,BUY,56.695319999999995,200,
2025-07-30,SELL,54.955999999999996,200,MA20
2025-07-31,BUY,54.343439999999994,200,
2025-08-01,SELL,52.75776,200,MA20
2025-09-25,BUY,56.945519999999995,200,
2025-09-29,SELL,55.4556,200,MA20
2025-10-03,BUY,55.84463999999999,200,
2025-10-06,SELL,54.4564,200,MA20
2026-08-05,BUY,28.022399999999998,400,
2026-08-07,SELL,26.638672,400,MA20
2026-08-10,BUY,27.121679999999998,400,
2026-08-11,SELL,27.358096,400,MA20
